Team,No,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Eff,Deff
Milwaukee,12,91.9,38.7,20.6,8.8,4.1,14,23.3,27.4,11.4,102.6,3.4
Minnesota,13,92,43,23.9,8.4,5.5,12.7,23.7,27.9,15,104.6,1.4
Charlotte,14,92.9,39.5,22.2,8.9,4.9,15.2,22,29.9,9.6,105.2,0.7
Atlanta,15,85.3,42.8,15.4,7.1,5,14,19.7,29.5,13.3,89.6,0.7
Orlando,16,89.2,42.4,21.2,9.8,4.2,16.1,19.1,28.6,13.8,98.1,0.2
Toronto,17,91.1,43.2,20.7,8.8,6.4,15.3,22.8,28.9,14.2,102.9,-0.6
Cleveland,18,86.4,35.8,21.9,9,4.1,14.8,24.2,26.3,9.4,95.6,-3.2
Golden State,19,88.3,47.5,20.7,8.3,4.4,14.6,25.4,31.2,16.3,98.2,-3.3
Boston,20,93,42.8,21.5,9.1,5.1,15.5,23.9,29.2,13.6,102.2,-4
Seattle,21,94.9,42,21.7,7.9,4,14.4,20.9,28.4,13.5,103,-5.1
Sacramento,22,99.3,45.2,22.2,9,4.6,16.6,20.6,31.2,14,108,-5.5
Washington,23,91.2,40,21.3,7.9,3.9,14.2,23,28.1,11.9,98.9,-6.1
Dallas,24,91.6,42.5,18.4,7,5.8,13,21.3,29.6,12.9,100.1,-6.6
New Jersey,25,91.4,43,18.5,9.8,5.5,14.2,22.7,28.7,14.3,98.6,-8.2
Denver,26,93.5,40.8,19.4,7.5,5.5,14.3,22.9,27.8,12.9,99.9,-16.7
Chicago,27,81.9,39.3,20.3,8.7,3.4,14.6,22.2,27.9,11.5,86.2,-21.1
Vancouver,28,88.9,40.2,19.3,8.4,4,16.1,22.5,27.2,13,92.7,-22.8
L.A.Clippers,29,90.4,39.2,16.4,8.5,4.7,15.2,24.5,25.9,13.3,91.2,-24
Portland,2,96.6,42.2,22.8,7.7,4.7,14.2,23.2,30.8,11.4,112.5,15.5
Miami,3,93.2,43.2,23.1,7.1,6.2,14.3,24,32,11.2,109.9,14.4
Utah,4,95.6,40.9,24.8,7.6,5.4,14.2,24.6,29.6,11.3,112.4,13.7
San Antonio,5,95.5,43.9,21.8,7.5,6.7,14.5,20.9,32.6,11.3,111.9,13.5
Minnesota,6,97.9,42.2,26.7,7.5,5.4,13.4,23.3,29.9,12.3,116.8,13.2
Phoenix,7,97.8,43.8,25.1,9,5.4,16.1,24.4,31.2,12.6,113.9,13
Indiana,8,100.6,41.8,22.1,6.5,5,13,22.1,31.5,10.2,114.7,8.3
Charlotte,9,98.1,43,24.6,8.9,5.8,14.2,20.4,32.1,10.9,115.3,7.7
Toronto,10,96.7,43.2,23.6,8.2,6.6,13.2,24.3,29.9,13.4,111.5,3
New York,11,90.9,40.2,18.6,6.3,4.2,13.7,24,30.7,9.5,99.4,2
Milwaukee,12,100.9,41.4,22.5,8.1,4.7,14.2,24.7,29.1,12.3,113.6,1.7
Sacramento,13,104.5,44.8,23.4,9.4,4.6,15.6,21.1,32,12.8,116.2,-0.4
Philadelphia,14,94.7,43.9,21.8,9.3,4.7,14.8,23.5,30,13.9,105.6,-0.4
Orlando,15,100.1,44.9,20.8,9.1,5.7,17.3,24,31,14,109.5,-1.6
Detroit,16,102.6,40.9,20.6,8,3.2,15.3,24.5,29.9,11,109.7,-3.3
Boston,17,99.3,43,21.2,9.7,3.5,14.9,27.1,29.5,13.5,108.5,-3.5
Denver,18,99,44.7,23.3,6.8,7.5,15.1,23.9,31.6,13.1,112,-3.8
Seattle,19,98.7,42.9,22.7,8,4.2,13.7,21.7,30.2,12.7,108.9,-3.8
Dallas,20,101.4,41.2,22.1,7.2,5.1,13.2,21.6,29.8,11.4,112.6,-4.9
Houston,21,99.5,43.8,21.6,7.5,5.3,16.6,20.3,31.5,12.3,109.5,-5
Washington,22,96.6,42.7,21.6,7.2,4.6,15.5,26.2,29.7,13,106,-6.4
Cleveland,23,97,42.8,23.7,8.7,4.4,16.9,27.1,30.5,12.3,107.2,-6.5
New Jersey,24,98,40.9,20.6,8.8,4.8,12.8,23.3,28.2,12.7,107.3,-6.7
Atlanta,25,94.3,45.3,18.9,6.1,5.6,14.9,21,31.3,14,102.7,-12.2
Vancouver,26,93.9,40.6,20.7,7.4,4.2,16,22.9,28.3,12.3,102,-14.1
