Team,No,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Eff,Deff
Toronto,28,101,38.5,19.4,6.5,3.3,12.5,24,27.9,10.5,106.7,-12.2
New York,29,95.6,41.4,17.9,6.8,3.3,17,26.3,28.8,12.6,98.1,-15
Phoenix,1,109.5,40.5,25.6,6.7,4.8,13.9,20.2,31.5,9,126.4,18.7
Dallas,3,99.9,42.1,19.8,6.9,5,13.2,22.5,30.6,11.4,113.2,15.4
Chicago,4,98.1,43.5,22.2,7.7,5.3,15.3,23.1,31.5,12,110.5,11.1
Detroit,5,95.2,40.5,21.3,7.1,5.6,11.9,21,28.9,11.6,109.1,10.5
Utah,6,100.9,42.8,24.3,7.1,4.2,15.1,25.1,30.2,12.6,114.8,10.3
Houston,7,96.2,43.2,20.6,7.1,4.1,13.7,20.7,32.5,10.7,107.8,8.7
Cleveland,8,95.2,43.5,20.2,7.5,4.1,13.5,21.5,31,12.5,104.6,6.4
L.A.Clippers,9,95.6,41.1,21.5,7.3,5.8,14.4,22.6,30.3,10.8,109.1,4.4
Toronto,10,98.9,39.3,21.8,7.1,3.9,13,20.5,30.3,9.1,110.2,1.4
Denver,11,104.4,43.4,23.1,8.1,5.2,16,21.2,31.1,12.3,116.3,1.2
Miami,12,94.3,40.6,20.4,6.9,5.4,14,21.5,30.7,9.9,104.7,0.6
Orlando,13,94.5,40.7,18.6,6.8,5,16.2,23.3,29.5,11.2,101.3,-0.2
New Jersey,14,96.6,40.7,23.8,6.1,3.3,14.3,22.6,30.9,9.8,107.2,-0.4
L.A.Lakers,15,103,41.4,22.1,7.2,5.1,15,23,30.4,11,113.3,-2.6
Golden State,16,106.5,41,23,9.3,5.7,15.6,23.9,29.6,11.5,116.5,-3.8
Minnesota,17,96.1,40.2,22.5,6.5,4,15,21.4,30.2,10,106.6,-4.2
Indiana,18,95.6,41.8,20.5,7.3,5.5,15.9,23.3,29.8,12.1,103.6,-4.5
New Orleans,19,95.5,43.1,18.7,6.3,4.2,13.6,19.8,30.6,12.5,103,-5
Philadelphia,20,94.9,39.7,20.4,7.2,4.8,14.7,20.4,28.7,11,103.7,-5.1
Seattle,21,99.1,39.6,20.7,7.7,3.7,14.5,22,28.3,11.3,107.8,-6.7
Charlotte,22,96.9,39.8,22.4,7.8,4.5,14.3,24.2,28.6,11.2,105.2,-6.9
Washington,23,103.7,41,20.2,7.6,4.5,13,22.2,28.9,12.1,111.3,-7.2
New York,24,97.5,43.3,18.7,6.6,3.2,16.3,23.5,30.7,12.6,102.5,-7.4
Atlanta,25,93.7,40.1,19.2,7.4,5.4,15.2,24,28.2,11.9,101,-8
Sacramento,26,101.3,38.9,20.3,8.2,3.2,14.1,21.8,29.2,9.7,107,-8.7
Portland,27,94.1,39.3,18.5,6.8,4.6,14.3,23.5,28,11.3,100.4,-9.2
Boston,28,95.8,40.4,19.9,7.2,4.7,15.7,24,29.2,11.2,102.2,-9.5
Milwaukee,29,99.7,39.2,21.6,7.2,2.7,14.6,22.2,27.7,11.5,105.7,-15.4
Utah,2,105.3,41.3,25.8,8.5,4.5,14,24.2,29.4,11.9,123.5,17.8
Phoenix,3,109.5,41.5,26.2,6.4,6.4,13.8,20.1,32.7,8.8,129.2,17.3
Detroit,4,96.4,40.5,22,7.2,5.8,11.2,21.1,28.9,11.6,112.4,16.7
L.A.Lakers,5,107.3,43.2,23.7,7.8,5.3,13.5,21.2,32.7,10.5,124.2,13.1
Dallas,6,100,43.1,20.9,5.9,4.8,12,21.7,32.1,11,115.2,10.6
Houston,7,96.1,44.5,21,7.3,5.2,12.9,19.7,32.2,12.3,109.7,10.4
New Orleans,8,100.3,41.9,21.4,7.7,4.1,10.9,18.9,30.6,11.3,115.6,9.1
San Antonio,9,95.1,41.3,20.8,6.2,4.1,12,19.4,32,9.3,107.6,7
Toronto,10,100.1,40,23.8,7,4,11.1,19.7,30.4,9.6,116.2,6.6
Denver,11,110.2,44.3,24.4,9,6.6,14.4,21.3,32.9,11.4,126.8,6.2
Orlando,12,103.7,42.1,20.4,6.2,4.1,13.9,20.6,32.5,9.6,113.8,5.3
Cleveland,13,95.5,44.1,20,6.9,5.2,13.1,21,31,13.1,105.8,0.1
Golden State,14,111,43.2,22.4,9.1,4.7,13,22.9,30.4,12.7,122.4,-0.6
Portland,15,95.4,40.7,21.1,5.5,4.4,12.1,20,29.7,11,105.7,-1.3
Philadelphia,16,95.9,41.7,20.1,8.7,4.8,13.6,19.7,28.6,13.1,106,-2
Atlanta,17,97.3,41.9,21.6,7.1,5.5,14.3,20.4,29.7,12.2,109.4,-3.7
Indiana,18,104,43.1,22.7,7.6,5,14.7,23.4,32.1,11,114.5,-4
Washington,19,98.4,41.3,19.3,7.7,4.8,12.5,19.8,29.2,12.1,108.4,-4.3
Chicago,20,97.3,43,22.1,7.7,5.2,14.1,21.8,30.2,12.8,108,-5.6
New Jersey,21,95.8,41.9,23.5,6.3,4.8,14.4,22.6,30.7,11.1,106.9,-7.4
Sacramento,22,102.5,40,19.1,7.9,4.1,15.3,22.4,29.9,10.1,109.9,-7.8
Charlotte,23,97.1,40.7,21.3,7.5,4.9,13.9,21.7,29.8,10.9,106.3,-10.2
L.A.Clippers,24,93.8,40.1,21.1,6.8,4.8,13.8,21.3,30.4,9.8,102.9,-13.1
Milwaukee,25,97,41.7,21.5,6.7,4.4,14.3,21.3,28.8,12.9,105.1,-14.6
Minnesota,26,95.6,41.4,19.9,7.5,3.7,13.9,23,29.6,11.8,103.1,-16.1
Seattle,27,97.5,44.6,21.3,6.5,4.9,15.2,20.5,32.8,11.8,106.7,-16.2
Miami,28,91.4,37.6,20,7.2,4.3,14,20.4,28.5,9.1,97.1,-18.2
New York,29,96.9,42.5,18.7,6.3,2.6,13.8,21.5,30,12.5,100.1,-18.6
Cleveland,1,99.9,41.9,20.1,7.2,5.2,11.9,20.3,31.2,10.7,114.6,18.9
Boston,2,101.1,42.3,22.7,7.6,4.8,14.7,23.3,31.7,10.6,117.2,17.7
Portland,4,98.6,41.3,19.9,6.7,5.1,12,20.3,28.6,12.7,111.7,10
Denver,5,104.9,41.4,22.3,8.7,5.9,14.4,23.2,30.4,11,119.4,9.8
Orlando,6,100.1,42.2,19.3,6.9,5.2,13.3,20.5,32.5,9.6,110.5,9.6
Utah,7,103.2,41.1,24.7,8.8,4.5,14.3,22.4,29.5,11.6,118.8,8.5
Dallas,8,101.7,42.5,21.3,7.1,5.1,12.2,19.8,31.6,10.9,117.4,7
San Antonio,9,96.7,40.9,20.9,5.8,4,11.1,19,32,8.9,109.6,6.3
Phoenix,10,109.4,41.7,23.2,7.2,5.1,15.4,20.5,30.7,11,123.7,6.1
Houston,11,97.5,42.6,19.8,6.6,4.2,13.3,19.1,32.2,10.4,109.5,5.7
Miami,12,97.5,39.4,20,7.8,5.5,12,20.7,29.4,10,108.9,2.8
New Orleans,13,95.1,39.5,19.4,7.2,4,12,20.4,29.8,9.7,106.8,1.6
Detroit,14,93.5,41.1,20.4,5.9,4.5,11.2,21,29.7,11.4,105,-0.8
Philadelphia,15,96.8,40.9,19.9,7.9,4.9,13.5,20.3,28.5,12.3,107.1,-1
Chicago,16,102.7,42.4,21,7.4,5.7,14,21,30.6,11.7,114.4,-1.3
Charlotte,17,93.6,39.7,21.2,7.1,4.8,14.9,21.3,28.9,10.8,103.5,-1.4
Atlanta,18,96.5,39.4,19.8,7.3,4.4,12.1,19.8,28.8,10.6,105.9,-1.5
Indiana,19,105.1,43.7,21.6,7,5.3,14,23,32.5,11.3,117.2,-1.6
Milwaukee,20,99.3,40.7,22,7.4,3.8,13.6,24.1,28.9,11.9,108.3,-3
Toronto,21,99,40.4,22.4,6.4,4.8,12.8,19.3,30.6,9.8,112,-3.8
New Jersey,22,98.1,39.8,20,6.8,4.8,12.4,22.4,29.4,10.4,107.7,-6.5
Golden State,23,108.6,42,20.9,7.8,6.4,14.2,22.5,30.4,11.6,118.7,-9.7
Oklahoma City,24,97,42.6,20.3,7.4,4.6,15.5,20,30.5,12.2,105.6,-11
New York,25,105.2,42.1,21.2,7.4,2.5,13.9,20.3,31,11.1,111.6,-12.8
Memphis,26,93.9,38.8,17.4,7.5,4.7,14.2,21.7,28.5,10.3,99.8,-13.1
Minnesota,27,97.8,41.7,20.4,6.2,3.9,13.5,21.6,29.8,11.9,105,-13.5
Washington,28,96.1,40.1,20,7.5,4.5,13.5,20.5,28.4,11.7,104.5,-17.3
L.A.Clippers,29,95.1,39.8,21,7,5.9,14.2,20.1,29,10.9,103.1,-19.2
Utah,1,104.5,41.9,26.4,7.9,4.8,14.4,23.1,31.3,10.7,123,15
Cleveland,2,101.9,42.2,22.2,6.7,5.3,13.2,19.7,32.6,9.5,117.5,14.7
Orlando,3,101.9,42.8,19.3,6.3,5.5,13.5,20.2,33,9.8,113.8,14.2
Boston,4,98,38.7,23,8.4,4.8,13.9,22.7,30,8.8,112.6,11.9
Dallas,5,101.4,41.8,23.1,7.5,5.4,12.4,19.3,31.6,10.3,118.4,10
Phoenix,6,109.7,42.5,22.9,5.6,4.9,13.8,21.1,31.5,11,123.9,10
Oklahoma City,7,101,43.5,19.7,7.7,5.9,14,21.4,31.8,11.7,114.7,9.6
San Antonio,8,100.8,42.6,22,6.2,4.6,12.9,20.4,31.8,10.7,114.1,8.9
Miami,10,96,41.6,18.8,7.3,5.5,12.5,21,31,10.6,107.7,6.5
Portland,11,97.8,40,20.4,6.3,4.3,11.5,21.1,28.9,11.1,109.4,6.5
Atlanta,12,100.2,41.5,21.2,7.1,5,11.3,20,29.5,12,113.8,6.3
Denver,13,106.6,41.3,20.8,8.1,5.1,13.5,23.1,30.4,10.8,118.2,5
Charlotte,14,94.8,40.6,20.2,7.6,5.4,14.8,19.8,30.3,10.4,105.3,1.9
Milwaukee,15,97.1,42.7,20.8,6.9,4.6,12.6,22.1,31,11.7,106.6,0
Chicago,16,97.4,44.4,20.7,6.3,5.7,13.4,20.2,33,11.4,109.4,-0.9
Toronto,17,104.1,40.4,22,5.6,4.7,12.9,22.2,30.6,9.8,115.9,-3.7
Philadelphia,18,97.7,41,21,8.1,5.3,13.8,20.5,29.5,11.5,109.8,-4.9
New Orleans,19,100.2,40.2,22.3,7.6,3.6,12.8,19.6,29.9,10.4,112.1,-5.9
Houston,20,102.4,42,21.8,7,3.9,13.8,20.9,30.1,11.8,111,-5.9
Memphis,21,102.5,43.5,18.8,7.7,4.9,14.5,20.2,30.4,13,111.2,-6.2
Indiana,22,100.8,41.5,21.1,7.1,5.4,14.2,22.5,31.9,9.6,109.7,-7.4
Sacramento,23,100,42.6,20.5,6.8,4.5,14.2,22.3,30.7,11.9,107.8,-8.5
New York,24,102.1,40.4,21.6,7.1,3.7,13.4,20,30.2,10.2,111.1,-9.3
Washington,25,96.2,41.7,19,6,5.1,14.1,21.4,30,11.7,103.5,-10.8
L.A.Clippers,26,95.7,41.8,22.1,6.5,5.7,14.9,19.3,30.5,11.3,106.8,-10.9
Golden State,27,108.8,38.4,22.4,9.2,4.2,14.3,23,29.2,9.2,117.3,-12
Detroit,28,94,40.2,19.4,7.2,3.8,12.7,22.2,27.3,12.8,100.7,-13.8
New Jersey,29,92.4,39.7,18.8,7,4.8,13.5,20,28.8,10.9,98.1,-22.9
Chicago,1,97.6,44.1,21.9,7.2,5.9,13.3,20.2,32,12.1,113.5,16.6
Boston,2,96.3,38.8,23.2,8.2,4.2,13.7,20.6,30.9,7.9,112.6,15.9
Miami,3,100.2,41.9,19.3,6.8,5.4,13.1,20.2,32.2,9.7,114,14.8
Oklahoma City,4,104.4,43.3,19.9,7.7,6.2,13.7,22.8,31.9,11.4,119.2,10.8
L.A.Lakers,6,100.6,43.6,21.6,7.3,5.1,12.5,19.1,31.5,12.1,116.2,10.4
San Antonio,7,103,41.9,22.1,7.3,4.6,12.9,19.1,31.7,10.1,117.8,9.8
Orlando,8,98.5,43.1,19.6,6.6,4.6,14.3,20.1,32.5,10.6,108,8.2
Memphis,9,99.8,41.3,20.4,9.2,5.5,13.3,21.2,29.4,11.9,112.3,4.1
Houston,10,105.9,42.8,23.8,7.1,4.5,12.8,20,31.1,11.7,119.9,3.8
Denver,11,106.9,41.8,21.9,7.3,4.2,13.7,21.1,32.2,9.5,118.8,3.8
Portland,12,95.7,39.2,20.9,7.9,4.4,12.3,19.4,27.3,11.9,107.3,3.5
Philadelphia,13,98.3,41.7,22.6,7.5,4.3,12,19.5,31.4,10.4,112.5,2.8
New Orleans,14,94.5,39.7,20.6,7.3,4.3,12.2,21.1,29.8,9.9,106.6,1.5
Utah,15,99.4,39.5,23.4,7.7,5.9,13.6,22.7,28.5,11,113.6,1
New York,16,105.8,40.4,21.2,7.6,5.8,13.4,21.1,29.9,10.5,116.8,-0.3
Atlanta,17,93.9,39,21.5,6,4.3,12.6,19.1,29.8,9.2,105,-2.9
Milwaukee,18,91.9,40.8,18.8,7.5,4.9,12.5,20.5,30.2,10.5,100.3,-3
Indiana,19,99.2,43.2,19.4,7.2,5.5,14.7,21.8,32,11.3,108.3,-3.5
Phoenix,20,105,40.2,23.7,6.7,4.4,13.6,20.3,30.2,10,116.5,-4.1
L.A.Clippers,21,98.6,42.1,22.1,7.1,4.9,15.5,21.1,30.5,11.6,107.9,-6.1
Golden State,22,103.4,40.5,22.5,9,5,14.1,22,28.9,11.6,115,-7.1
Charlotte,23,93.3,40.1,21.1,6.4,5.3,13.7,20,29.8,10.3,104,-7.2
Detroit,24,97,38.6,21.1,7.3,4,12.2,19.9,27.3,11.3,106,-10.7
Sacramento,25,99.4,43.9,20.4,7.4,4.8,15.6,22,30.8,13.1,106.9,-10.9
Toronto,26,99.1,40.3,21.9,6.9,4.3,14,22,28.6,11.7,108.4,-12
New Jersey,27,94.2,40.8,21,5.6,4.7,13,22,29.7,11.1,102.4,-12.2
Washington,28,97.3,41.3,19.4,8.1,6.1,14.7,22.6,29,12.4,104.4,-15.1
Minnesota,29,101.1,44.4,20.1,7.2,5.2,16.5,22.3,31.2,13.2,108,-17.3
Chicago,1,95.3,46.7,23.1,6.8,5.9,13.5,17.5,33,13.7,112.9,18.2
Oklahoma City,3,102.6,42.8,18.4,7.8,7.9,14.8,20.9,32.2,10.6,117.6,14.1
San Antonio,4,103.4,42.6,23.1,7.3,4.5,13.3,17.9,32.5,10.1,119.1,12.7
Boston,5,91.3,39,22.7,7.7,5.3,13.7,20.3,31.3,7.8,106,9.3
Philadelphia,6,92.3,42.9,21.4,7.9,5.2,10.8,17.7,32.2,10.7,107.8,8.1
Indiana,7,96.7,43.9,18.3,7.8,5.4,13.3,21.7,31.4,12.5,107.4,6.2
Denver,8,103.4,43.5,23.7,8.1,5.2,14.5,19.8,31.9,11.6,118.7,5.3
Memphis,9,94.6,42.1,19.2,9.3,5.2,14,20.3,29.4,12.7,105.5,4.8
L.A.Clippers,10,96.6,40.9,20.5,8.6,5,12.5,21.6,29.2,11.6,107.6,4.4
Atlanta,11,95.4,41.3,22,7.9,4.5,13.4,18,31.4,9.9,107.9,4.3
L.A.Lakers,12,96.8,46,21.9,5.9,5.7,14.1,17.2,33.6,12.4,112,3.4
Utah,13,98.9,44.4,21.5,8.2,5.9,13.5,21.7,31.2,13.2,113,3.2
New York,14,96.8,41.6,19.6,9.2,4,15.4,21.3,30.3,11.3,104.7,2.5
Dallas,15,95.6,42.6,20.6,8.5,5,13.6,18.7,32.5,10.1,108.5,1.8
Houston,16,98.1,42.2,21.3,7.5,4.8,13.8,20.4,30.5,11.7,109.5,1.3
Milwaukee,17,99,42.5,23.5,8.3,5.1,13.7,19.3,30,12.4,112.1,1.2
Phoenix,18,98.4,41.7,22.5,6.5,5.5,13.5,18.7,30.8,10.9,111.3,-0.3
Toronto,19,90.7,42,20.9,6.5,4.8,14.5,23.2,31.4,10.6,101.8,-1.5
Portland,20,97.2,40.7,20.4,8,4.9,13.8,19,29.5,11.1,107.3,-3.1
New Orleans,21,89.6,41.1,20.7,7.4,4.8,14.6,20.1,30.2,11,101.5,-4.1
Orlando,22,93.4,42.2,19.8,6.8,4.2,14,17.8,31,11.1,100.8,-4.9
Golden State,23,97.8,39.2,22.3,8,5.5,13.4,21.4,29.5,9.7,110.2,-6.6
Washington,24,93.6,41.7,19.1,8,6.3,14.6,21.3,29.9,11.7,102.1,-9
Minnesota,25,97.9,43.7,19.5,6.6,4.4,14.7,18.4,31.7,12.1,105.2,-9.2
Detroit,26,90.9,40.3,18.7,7,4.2,14.6,19.6,28.5,11.7,96.3,-15.3
New Jersey,27,93.1,40.3,19.9,7.5,3.9,14.3,19.2,28.5,11.8,99.2,-16.7
Sacramento,28,98.8,42.9,19.3,8.5,4.9,13.9,19.5,29.5,13.4,105.5,-17.3
Cleveland,29,93,42.3,19.8,7.1,4,14.6,20,29.5,12.7,97.5,-20
Oklahoma City,1,104.9,43.5,21,8,7.5,14.5,20.7,33.2,10.3,124.1,22.2
L.A.Clippers,3,100.6,41.3,23.5,9.3,5.6,13.7,21.4,30,11.3,118.1,15.1
San Antonio,4,102.5,41.6,24.4,8.3,5.3,13.8,17.7,33.1,8.5,121.2,15
Denver,5,105.9,44.6,24.2,9.3,6.2,14.7,20.7,31.4,13.2,123.1,10.2
Indiana,6,94.2,45.8,19.8,6.8,6,14.7,20.5,33,12.8,106.8,9.1
Memphis,7,93.6,42.6,20.7,8.4,5.2,12.7,20.5,29.8,12.7,106.9,8.7
New York,8,98.5,40.4,18.7,8.3,3.7,11.5,20.6,29.6,10.8,107.8,4.6
Utah,9,98,42,22.7,8.4,6.3,14.2,21.4,30,12.1,113.1,3.1
Golden State,10,101.4,45.1,22.4,6.9,4.3,14.9,21.7,34.2,10.9,115.2,2.6
Chicago,11,93,42.9,22.6,7.1,5,13.6,20.1,30.4,12.4,106,2.4
Dallas,12,101.1,41.9,23.2,8,5.5,13.5,20.7,32.5,9.4,116.7,1.7
Houston,13,105.5,43.4,22.8,8.1,4.5,15.8,20.5,32.4,11.1,117.5,1.4
Boston,14,95.5,39.3,22.3,8.1,4.4,14.1,21,31.4,7.9,108.5,1.4
Brooklyn,15,97.1,42.7,20.3,7.2,4.8,13.7,18.4,30,12.7,107.9,1.1
Atlanta,16,97.4,40.7,24.1,8.1,4.4,14.1,18.4,31.5,9.2,111.3,0.2
L.A.Lakers,17,101.4,44.6,22,7,5.2,14.7,17.9,33.2,11.3,113.1,-2.5
Toronto,18,97.2,40.2,21.5,7.3,4.8,13.2,22.4,29.6,10.6,107.8,-2.9
Milwaukee,19,98.2,43.5,22.7,8.4,6.5,13.7,19,30.7,12.8,110.8,-4.4
Washington,20,93.2,43.2,21.6,7.3,4.6,14.6,20.5,32.3,10.8,103.5,-4.5
Minnesota,21,95.7,42,22.4,8.5,4.7,14.1,18.4,30.2,11.9,107,-5.9
Philadelphia,22,93.2,41.4,22.8,7.4,4.7,12.5,18.3,30.4,10.9,105.5,-6.7
New Orleans,23,94.1,41.6,21,6.3,5.4,13.7,20.4,29.6,12,105.9,-9.2
Detroit,24,94.9,42.1,21.2,7,4.9,14.6,19.8,30,12.1,104,-10.9
Portland,25,97.5,40.8,21.8,6.6,4.3,14.2,18.5,30.2,10.7,107,-11.3
Orlando,26,94.1,42.7,22.8,6.4,4.4,14,19.4,31.9,10.9,105.9,-11.5
Phoenix,27,95.2,41.6,22.6,8,5.3,15,20.6,29.9,11.7,105.7,-11.5
Cleveland,28,96.5,41,20.7,7.9,4.1,13.4,21.2,28.8,12.2,103.6,-15.4
Sacramento,29,100.2,40.6,20.8,8.2,4.2,14.1,20.9,29.1,11.5,108.1,-16.2
Oklahoma City,2,105.5,44.8,21.4,7.9,6.1,14.8,22.7,33.9,10.9,122.1,14.8
L.A.Clippers,3,108,42.6,24.5,8.7,4.8,13.2,21.9,32,10.6,123.8,12.5
Golden State,4,104.4,45.1,23.4,7.8,4.9,15.1,22,34,11.1,119.2,10.3
Indiana,5,95.8,43.7,19.9,6.8,5.2,14.1,20.5,33.9,9.8,108.3,10.1
Miami,6,101.2,36.3,21.7,8.6,4.3,13.6,19.7,29,7.3,115.3,9.3
Houston,7,108,45.6,21.2,7.5,5.6,15.3,20.8,34,11.6,120.6,6.5
Chicago,8,93.4,44,22.5,7.1,5.1,13.9,19.3,32.6,11.5,107.6,5.9
Dallas,9,104.6,40.9,23.2,8.4,4.3,13,20,30.5,10.4,119.8,5.9
Portland,10,106.5,46.2,22.5,5.6,4.9,13.3,19.6,33.8,12.4,119.8,5.4
Memphis,11,96.2,42.4,21.8,7.8,4.4,12.8,19.3,30.7,11.7,110,5.2
Toronto,12,100.9,42.4,20.9,6.9,4.1,13.4,23.2,31.1,11.3,111.3,4.4
Phoenix,13,105.2,43,19.1,8.4,4.6,14.8,21.9,31.7,11.3,114.8,3.6
Washington,14,99.4,42.5,22.8,8.1,4.7,13.9,20.6,31.6,10.9,112.3,3.4
Minnesota,15,106.9,44.7,24,8.8,3.6,13.5,18.3,32.2,12.5,119.7,1.2
New York,16,98.6,40.3,20,7.7,4.5,12.4,22.1,29.7,10.6,108.6,-0.2
Charlotte,17,96.6,42.5,21.6,6,5.1,11.7,18.3,33.1,9.4,108.1,-0.7
Atlanta,18,100.3,39.9,24.3,8.2,4,14.4,19.4,31.2,8.7,113,-2.4
New Orleans,19,99.7,41.7,21.3,7.9,6.4,13,22.6,30.3,11.4,113.9,-2.6
Brooklyn,20,98.1,38.1,20.6,8.4,3.7,13.7,21.8,29.1,8.9,107.2,-3.2
Denver,21,104.4,45.4,22.4,7.5,5.6,15.4,23,33.1,12.3,115.3,-4.5
Sacramento,22,100.5,44.5,18.9,7.2,3.9,14.7,22.5,32.4,12.1,108,-9.1
Boston,23,96.2,42.5,21,7.1,4.2,14.4,21.2,30.5,12,104.7,-9.3
Cleveland,24,98.2,44.1,21.2,7.1,3.7,13.5,20,32.1,12,107.4,-9.8
Orlando,25,96.5,42,21,7.7,4.3,14.2,20.5,32.4,9.7,106.5,-10.1
Detroit,26,101,45.4,20.9,8.4,4.8,13.9,20.3,30.8,14.6,110,-10.8
Utah,27,95,41.2,20.3,7,4.5,14,20.7,30.2,11,103.3,-15.4
Milwaukee,28,95.5,41.1,21.5,6.6,4.9,14.3,20.9,29.3,11.9,103.4,-16.2
L.A.Lakers,29,103,41,24.5,7.5,5.5,14.8,19.8,32,9.1,114.3,-16.4
San Antonio,2,103.2,43.9,24.4,7.9,5.3,13.3,19.5,33.9,10,121.7,14.2
L.A.Clippers,3,106.9,42.9,24.4,7.9,5.1,11.9,21.8,33.3,9.6,123.5,12.6
Atlanta,4,101.8,41.1,25.4,8.9,4.7,13.3,18.1,32.2,8.9,119.6,9.9
Washington,5,98.8,44.9,23.9,7.3,4.7,14.3,20.8,34.3,10.7,114.9,9.8
Chicago,6,100.2,45.7,21.8,6.4,5.9,13.1,18.3,34,11.7,114.9,7
Memphis,7,97.9,42.7,21.5,8.6,4.2,12.7,19.1,32.2,10.4,112,6.8
Portland,8,102.3,45.8,21.6,6.2,4.6,13.1,18.4,35.1,10.7,116.1,5.8
Oklahoma City,9,104,47.5,20.5,7.3,5.5,14,22.3,34.7,12.8,116.7,4.6
Utah,10,95.1,44,19.9,7.6,6,14.2,19.3,31.9,12,108,4.1
Dallas,11,105.5,42.6,22.4,8,4.5,12.6,20.5,31.9,10.6,118.5,3.6
Cleveland,12,102.3,43.8,21.3,7.2,4.6,13.3,18.9,32.4,11.3,114.6,3.5
Milwaukee,13,97.2,42.2,23.3,9.7,5,15.8,22.1,31.4,10.8,111.5,3.2
New Orleans,14,99.4,43.4,22.1,6.8,6.2,12.6,18.9,31.9,11.5,114.9,2.9
Indiana,15,97.3,44.9,21.4,6.2,4.6,13.3,21.2,34.4,10.5,109,1.8
Houston,16,104.7,44,22.1,9.3,5,15.7,22.2,32.5,11.5,114.8,1.2
Toronto,17,103.6,41.4,20.7,7.5,4.3,12.2,21.1,30.8,10.7,114.4,0.1
Boston,18,101.1,43.7,24.3,8.1,3.6,13.3,21.5,32.7,11.1,113.5,-0.2
Phoenix,19,102.4,43.2,20.2,8.5,4.7,14.5,21.3,32.2,10.9,112.2,-2
Miami,20,94.7,39.1,19.8,7.8,4.5,13.9,20,30,9.1,104,-4.1
Detroit,21,98.5,44.9,21.6,7.6,4.7,12.6,19,32.1,12.8,109.2,-6.6
Charlotte,22,94.2,44.1,20.2,6.1,5.5,11.2,18.2,34.1,10,104,-7.5
Sacramento,23,101.3,44.2,20.3,6.7,4,15.6,20.7,33.3,10.9,110,-9.1
Brooklyn,24,97.9,42.5,21,7.1,4.1,13.4,19.2,32.2,10.3,107.9,-9.2
Denver,25,101.5,44.7,21.8,7.8,4.5,13.8,23,32.3,12.3,110.5,-10.2
Orlando,26,95.7,41.8,20.6,7.9,3.8,14.3,20.9,31.8,10,105,-12.8
L.A.Lakers,27,98.5,43.9,20.9,7,4.5,12.6,21.2,32.3,11.6,107.7,-14.7
New York,28,91.9,40.4,21.3,7,4.7,13.8,21.6,29.8,10.6,100.1,-15.9
Minnesota,29,97.8,40.9,21.6,8.2,4,14.3,19.2,29.3,11.6,105.6,-18.9
San Antonio,1,103.4,43.4,24.2,8.3,6,12.3,17.6,34.2,9.2,126.2,25.9
Golden State,2,113.3,45.5,27.9,8.3,5.9,14.6,21,35.4,10.1,135.7,23.3
Oklahoma City,3,109.5,48.3,22.5,7.4,5.8,15.1,20.6,35.4,12.9,127.5,17.4
Miami,5,99.6,44.1,20.2,6.5,6.4,13.1,18.7,34.4,9.7,114.7,9.4
Atlanta,6,102.5,42.3,25.3,8.9,6.1,14.4,19.3,34,8.3,120.4,8.8
L.A.Clippers,7,104.1,42.3,22.5,8.6,5.5,12.2,21.2,33.4,9,118.3,8.8
Indiana,8,101.5,43.8,21,8.9,4.8,14.3,20.2,33.6,10.2,114,5.7
Boston,9,104.9,45,23.9,9,4.4,13.5,21.9,33.5,11.5,118.4,5.2
Utah,10,97.7,43.2,19,7.7,5.1,14.2,20.2,32.5,10.7,108.3,3.8
Toronto,11,100.9,42.8,18.1,7.7,5.1,12.1,20.1,32.5,10.3,111.3,2.7
Charlotte,12,102.4,43.4,21,7.2,5.2,11.6,18.1,34.6,8.8,115.2,-0.5
Washington,13,104.1,41.8,24.5,8.7,3.9,13.9,20.8,32.8,9.1,116.7,-0.9
Portland,14,105.1,45.7,21.3,6.8,4.5,13.9,21.9,34,11.7,116,-1.2
Orlando,15,102.1,43.3,23.6,8.2,5.1,13.6,20.7,33,10.3,116.5,-1.9
Chicago,16,101.6,46.3,22.8,6,5.7,13.3,18.8,35.2,11.1,115.9,-2.3
New York,17,98.4,44.4,20.5,5.7,5.7,12.7,19.7,34,10.4,110.7,-2.4
Minnesota,18,102.4,41.6,23.4,8,4.6,14.4,20.7,31.5,10,116.4,-2.4
Dallas,19,101.8,42.6,22,6.8,3.6,12.3,19.7,33.5,9.2,113.1,-3.9
Sacramento,20,106.6,44.2,24.5,8.9,4.5,15.5,20.4,33.6,10.6,119.9,-4.3
Milwaukee,21,99,41.7,23.1,8.2,5.8,14.6,20.7,31.2,10.5,113.6,-5.4
Detroit,22,101.6,45.9,19.5,6.9,3.7,12.8,19,33.7,12.2,108.4,-5.9
Houston,23,105.7,43.3,22,9.9,5.2,15.4,22,31.8,11.5,115.4,-6.8
Denver,24,101.9,44.6,22.7,7.4,4.8,14.2,21,33.1,11.5,113.9,-7.3
Memphis,25,98.3,41.6,20.5,8.8,4.3,12.8,21.7,30.3,11.3,108.3,-7.3
New Orleans,26,102.7,42.6,22.2,7.7,4.2,13,20.9,33.1,9.5,114,-9.6
Phoenix,27,100.9,44.8,20.7,7.7,3.8,16.6,22.7,33.3,11.5,107.2,-15.8
Brooklyn,28,98.6,42.4,22.3,7.7,4,14.3,18,31.9,10.5,109.5,-15.8
